song name, artist, album, genre, link
Rich & Sad,Post Malone,beerbongs & bentleys,Pop / Hip-Hop,https://open.spotify.com/track/2VdT56BGpdqNHUgOe1j5vc?si=auV4bOFGRtCfAIDQG05TiA
Congratulations,Post Malone,Stoney ,Pop / Hip-Hop,https://open.spotify.com/track/6syOdAs4IK8kPWR7gDyjRw?si=3Nr7_69ZTeiW1LShlyNWaQ
All Girls Are The Same ,Juice WRLD,Goodbye & Good Riddance ,Pop / Hip-Hop,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1?si=NJdMVXz2S76K8bTM2Gy-3A
Lucid Dreams ,Juice WRLD,Goodbye & Good Riddance ,Pop / Hip-Hop,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR?si=aQ4V8bEoTZ6KLZSDmk0ktg
Armed And Dangerous ,Juice WRLD,Goodbye & Good Riddance ,Pop / Hip-Hop,https://open.spotify.com/track/5wujBwqG7INdStqGd4tRMX?si=9JmJWQ2BS4GOF4j22HIP-w
Empty,Juice WRLD,Death Race For Love,Pop / Hip-Hop,https://open.spotify.com/track/41MCdlvXOl62B7Kv86Bb1v?si=MNBqNBEeTy2FBntFYCkmSA
Fast,Juice WRLD,Death Race For Love,Pop / Hip-Hop,https://open.spotify.com/track/6MjNilJCVKJq0LfFvo5jWJ?si=_QDCiRdqTsmSILEOBI09vQ
Robbery ,Juice WRLD,Death Race For Love,Pop / Hip-Hop,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ?si=G1u1rhv3QMKn3d5UUPcIAA
Come & Go ,Juice WRLD (with Marshmello),Legends Never Die,Pop / Hip-Hop,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG?si=tLPYAuWrSe6sZhyCB889ZA
Righteous,Juice WRLD,Legends Never Die,Pop / Hip-Hop,https://open.spotify.com/track/5dOxHHMOFAbG3VH23t0xNm?si=_qNjcfhUQI6yTgzw7dW7mA
Smile ,Juice WRLD (with The Weeknd),Legends Never Die,Pop / Hip-Hop,https://open.spotify.com/track/6wQlQrTY5mVS8EGaFZVwVF?si=BccCesZiRTSzi0De3ORTGw
Up Up And Away,Juice WRLD,Legends Never Die,Pop / Hip-Hop,https://open.spotify.com/track/7pbg3ABlAZv2NiIdKbBBFm?si=qFQ1PmsdTxqMJ55pH148NA
Man Of The Year,Juice WRLD,Legends Never Die,Pop / Hip-Hop,https://open.spotify.com/track/7AvprzMsRJpybaalckaT8c?si=i-iPn3MYRleiU7yjR0Vv4w
Wishing Well ,Juice WRLD,Legends Never Die,Pop / Hip-Hop,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv?si=viVMteizRUSV48PQROvX0w
i'm so tired…,Lauv and Troye Sivan,i'm so tired…,Pop  ,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI?si=hRpH3sBaTZ2-UHN2RJpE3Q
lonewolf,convolk,LONEWOLF,Emo Rap,https://open.spotify.com/track/1lSqu7LFx7v51aGMeKVYaI?si=M6dsE0QJQ5-7jBGhl-tJnw
whatever it takes,"convolk (with halberd, guardin, Jakkyboi and 9tails)",whatever it takes,Emo Rap,https://open.spotify.com/track/5FkOlv0W1nBqs3mgbksZa4?si=iDMWJm0NSuKyPmS8XhD_Rg
alive ,guardin,creature pt.2 ,Emo Rap,https://open.spotify.com/track/0SQS6U9RfjA4Nph4JcMpU8?si=ZwtcOmNrT--zmPZyW310nA
heal,50Landing,growing pains,Pop,https://open.spotify.com/track/0WeFvEY2QEjcKVd8ymli4i?si=LBp4Jv1AReSmNrcmoKKUlg
remember,50Landing,remember,Pop,https://open.spotify.com/track/1LmNhEkyaKl1mSJDNSNwjZ?si=U-oWfjz4Ty6XbDUFbpQDRA
Mr. Brightside ,The Killers,Hot Fuss,Alternative Rock,https://open.spotify.com/track/7oK9VyNzrYvRFo7nQEYkWN?si=2ZB_oCvcSOqErPnzMTD1vA
All The Small Things ,blink -182,Enema Of The State,Pop Punk,https://open.spotify.com/track/12qZHAeOyTf93YAWvGDTat?si=STm1W1leQE28Qh1sBXsVUg
I Miss You,blink -182,blink -182,Pop Punk,https://open.spotify.com/track/1oTo3ijRbaDAtrjJrGAPSw?si=qthMYywsSy2tiUr_Jmlw0w
How to Save a Life,The Fray,How to Save a Life,Soft Rock,https://open.spotify.com/track/5fVZC9GiM4e8vu99W0Xf6J?si=oivm0vv2S5CxE4C-uWZ3GA
You Found Me,The Fray,The Fray,Soft Rock,https://open.spotify.com/track/4IoYz8XqqdowINzfRrFnhi?si=dV3332KiRpuVnDeFwUH95w
Over My Head,The Fray,How to Save a Life,Soft Rock,https://open.spotify.com/track/1N62wozuHCvczCkY4QidpP?si=lc5pc1mmSPu5Jq0s4sPsJQ
Love Don't Die,The Fray,Helios,Soft Rock,https://open.spotify.com/track/6IDDwI0YOCAUDhMZltQekS?si=hUqy3PUMSNWW-Blw-E7-IQ
Fortunate Son ,Creedence Clearwater Revival ,Willy And The Poor Boys,Rock,https://open.spotify.com/track/4BP3uh0hFLFRb5cjsgLqDh?si=08ic0gQQR-CeGbNXrAxr6Q
